Name,SHA1,Product,Description,ProductVersion,FileVersion,MachineType,Category,Usecase,LolDriversUrl
FairplayKD.sys,b4dcdbd97f38b24d729b986f84a9cdb3fc34d59f,MTA San Andreas,Multi Theft Auto patch driver,367.3269.61.64,367.3269.61.64,AMD64,vulnerable driver,Elevate privileges,https://www.loldrivers.io/drivers/31686f0e-3748-48c2-be09-fc8f3252e780/
dellbios.sys,4f02fb7387ca0bc598c3bcb66c5065d08dbb3f73,,,,,AMD64,vulnerable driver,Elevate privileges,https://www.loldrivers.io/drivers/fa612342-5ae0-4e69-ad9c-14d574d9fb1e/
dellbios.sys,724dde837df2ff92b3ea7026fe8a0c4e5773898f,,,,,AMD64,vulnerable driver,Elevate privileges,https://www.loldrivers.io/drivers/fa612342-5ae0-4e69-ad9c-14d574d9fb1e/
dellbios.sys,9e8a87401dc7cc56b3a628b554ba395b1868520f,,,,,AMD64,vulnerable driver,Elevate privileges,https://www.loldrivers.io/drivers/fa612342-5ae0-4e69-ad9c-14d574d9fb1e/
dellbios.sys,7c46ecc5ce8e5f6e236a3b169fb46bb357ac3546,,,,,AMD64,vulnerable driver,Elevate privileges,https://www.loldrivers.io/drivers/fa612342-5ae0-4e69-ad9c-14d574d9fb1e/
dellbios.sys,fc154983af4a5be15ae1e4b54e2050530b8bc057,,,,,I386,vulnerable driver,Elevate privileges,https://www.loldrivers.io/drivers/fa612342-5ae0-4e69-ad9c-14d574d9fb1e/
dellbios.sys,a88546fb61a2fa7dab978a9cb678469e8f0ed475,,,,,AMD64,vulnerable driver,Elevate privileges,https://www.loldrivers.io/drivers/fa612342-5ae0-4e69-ad9c-14d574d9fb1e/
dellbios.sys,f7413250e7e8ad83c350092d78f0f75fcca9f474,,,,,AMD64,vulnerable driver,Elevate privileges,https://www.loldrivers.io/drivers/fa612342-5ae0-4e69-ad9c-14d574d9fb1e/
dellbios.sys,c2d18ce26ce2435845f534146d7f353b662ad2b9,,,,,AMD64,vulnerable driver,Elevate privileges,https://www.loldrivers.io/drivers/fa612342-5ae0-4e69-ad9c-14d574d9fb1e/
dellbios.sys,0ff2ad8941fbb80cbccb6db7db1990c01c2869b1,,,,,I386,vulnerable driver,Elevate privileges,https://www.loldrivers.io/drivers/fa612342-5ae0-4e69-ad9c-14d574d9fb1e/
dellbios.sys,c1777fcb7005b707f8c86b2370f3278a8ccd729f,,,,,AMD64,vulnerable driver,Elevate privileges,https://www.loldrivers.io/drivers/fa612342-5ae0-4e69-ad9c-14d574d9fb1e/
dellbios.sys,be270d94744b62b0d36bef905ef6296165ffcee9,,,,,I386,vulnerable driver,Elevate privileges,https://www.loldrivers.io/drivers/fa612342-5ae0-4e69-ad9c-14d574d9fb1e/
iobitunlocker.sys,d7f12c8d515a0ad401fa02cc8ac42b11b5b7fa55,,,,,I386,vulnerable driver,Elevate privileges,https://www.loldrivers.io/drivers/e368efc7-cf69-47ae-8204-f69dac000b22/
iobitunlocker.sys,dcf6ee994e23893ac3b5e90a08003e026cc1fd8e,,,,,I386,vulnerable driver,Elevate privileges,https://www.loldrivers.io/drivers/e368efc7-cf69-47ae-8204-f69dac000b22/
iobitunlocker.sys,239e41b1a860c2b12225be48930312773726e7fc,,,,,I386,vulnerable driver,Elevate privileges,https://www.loldrivers.io/drivers/e368efc7-cf69-47ae-8204-f69dac000b22/
iobitunlocker.sys,ac593c6f4d2ad88bfca455a3a189af6d3cdace32,,,,,I386,vulnerable driver,Elevate privileges,https://www.loldrivers.io/drivers/e368efc7-cf69-47ae-8204-f69dac000b22/
