SourceID,Name,Status,RuleID,FilenamePatternCount,FilenameRegex,FilteredFilenameRegex,Reason,SourceRows
kabuto,Kabuto,Generated,DR-MFT-RMM-084,1,^Kabuto\.App\.Runner\.exe$,,,1
khelpdesk,KHelpDesk,Generated,DR-MFT-RMM-271,1,^KHelpDesk\.exe$,,,1
kickidler,KickIdler,Generated,DR-MFT-RMM-086,1,^grabberTT.*\.msi$,,,1
kitty,KiTTY,Generated,DR-MFT-RMM-087,1,^kitty\.exe$,,,1
koofr,Koofr,Excluded,DR-MFT-RMM-273,0,,,No safe Windows filename indicator,1
labteach__connectwise_automate_,LabTeach (Connectwise Automate),Generated,DR-MFT-RMM-274,1,^ltsvc\.exe$,,,1
labtech_rmm__now_connectwise_automate_,LabTech RMM (Now ConnectWise Automate),Generated,DR-MFT-RMM-275,3,^ltsvc\.exe$|^ltsvcmon\.exe$|^lttray\.exe$,,,1
landesk,LANDesk,Generated,DR-MFT-RMM-088,7,^issuser\.exe$|^softmon\.exe$|^tmcsvc\.exe$|^LANDeskPortalManager\.exe$|^landeskagentbootstrap\.exe$|^ldinv32\.exe$|^ldsensors\.exe$,,,1
laplink_everywhere,Laplink Everywhere,Generated,DR-MFT-RMM-089,6,^OOSysAgent\.exe$|^laplink-everywhere-setup.*\.exe$|^laplink\.exe$|^laplinkeverywhere\.exe$|^llrcservice\.exe$|^serverproxyservice\.exe$,,,1
laplink_gold,Laplink Gold,Generated,DR-MFT-RMM-090,2,^laplink\.exe$|^tsircusr\.exe$,,,1
level.io,Level.io,Generated,DR-MFT-RMM-276,3,^level-remote-control-ffmpeg\.exe$|^level-windows-amd64\.exe$|^level\.exe$,,,2
litemanager,Lite Manager,Generated,DR-MFT-RMM-092,4,^LMNoIpServer\.exe$|^ROMFUSClient\.exe$|^ROMServer\.exe$|^romviewer\.exe$,,,2
localxpose,LocalXpose,Generated,DR-MFT-RMM-278,1,^loclx\.exe$,,,1
logmein,LogMeIn,Excluded,DR-MFT-RMM-279,0,,,No safe Windows filename indicator,1
logmein_rescue,LogMeIn rescue,Generated,DR-MFT-RMM-094,4,^lmi_rescue\.exe$|^lmi_rescue_srv\.exe$|^support-logmeinrescue.*\.exe$|^support-logmeinrescue\.exe$,,,1
lunixar,Lunixar,Generated,DR-MFT-RMM-280,10,^LunixarRemote\.dll$|^LunixarRemote\.exe$|^LunixarUpdater\.dll$|^LunixarUpdater\.exe$|^Lunixar\.Agent\.Core\.dll$|^Lunixar\.dll$|^Lunixar\.exe$|^Googlemeet\.msi$|^LunixarRMM.*\.msi$|^eDocument-.*\.msi$,,,1
manage_engine__desktop_central_,Manage Engine (Desktop Central),Generated,DR-MFT-RMM-095,2,^dcagentregister\.exe$|^dcagentservice\.exe$,,,1
manageengine,ManageEngine,Generated,DR-MFT-RMM-281,3,^dcagentservice\.exe$|^InstallShield Setup\.exe$|^ManageEngine_Remote_Access_Plus\.exe$,,,1
manageengine_rmm_central,ManageEngine RMM Central,Excluded,DR-MFT-RMM-282,0,,,No safe Windows filename indicator,1
manageengine_servicedesk_plus,ManageEngine ServiceDesk Plus,Generated,DR-MFT-RMM-283,1,^ManageEngine_ServiceDesk_Plus\.exe$,,,1
megasync,MEGAsync,Generated,DR-MFT-RMM-096,2,^MEGAsyncSetup64\.exe$|^MEGAupdater\.exe$,,,1
meshcentral,MeshCentral,Generated,DR-MFT-RMM-097,2,^meshagent.*\.exe$|^meshcentral.*\.exe$,,,1
mikogo,Mikogo,Generated,DR-MFT-RMM-100,5,^Mikogo-Screen-Service\.exe$|^Mikogo-Service\.exe$|^mikogo-starter\.exe$|^mikogo\.exe$|^mikogolauncher\.exe$,,,1
mionet__also_known_as_wd_anywhere_access_,MioNet (Also known as WD Anywhere Access),Generated,DR-MFT-RMM-101,2,^mionet\.exe$|^mionetmanager\.exe$,,,1
mionet__wd_anywhere_access_,MioNet (WD Anywhere Access),Generated,DR-MFT-RMM-284,2,^mionet\.exe$|^mionetmanager\.exe$,,,1
miradore,Miradore,Excluded,DR-MFT-RMM-285,0,,,No safe Windows filename indicator,1
mobaxterm,MobaXterm,Generated,DR-MFT-RMM-102,2,^MobaXterm_installer_.*\.msi$|^MobaXterm_installer_12\.1\.msi$,,,1
mocha_vnc_lite,Mocha VNC Lite,Excluded,DR-MFT-RMM-286,0,,,No safe Windows filename indicator,1
mouse_without_borders,Mouse Without Borders,Excluded,DR-MFT-RMM-288,0,,,No safe Windows filename indicator,1
mremoteng,mRemoteNG,Generated,DR-MFT-RMM-103,2,^mRemoteNG\.exe$|^mRemoteNG-Installer-.*\.msi$,,,1
msp360,MSP360,Generated,DR-MFT-RMM-104,11,^CBBackupPlan\.exe$|^CloudRaCmd\.exe$|^CloudRaSd\.exe$|^CloudRaService\.exe$|^CloudRaUtilities\.exe$|^Cloud\.Backup\.RM\.Service\.exe$|^Cloud\.Backup\.Scheduler\.exe$|^Online Backup\.exe$|^RMM\.Agent\.exe$|^Remote Desktop\.exe$|^cbb\.exe$,^Connect\.exe$,Filtered ambiguous or non-specific filename indicators,1
mstsc.exe__microsoft_remote_desktop_connection_,mstsc.exe (Microsoft Remote Desktop Connection),Excluded,DR-MFT-RMM-289,0,,,Built-in Windows Remote Desktop client; filename-only MFT presence is expected on Windows deployments,1
multcloud,MultCloud,Excluded,DR-MFT-RMM-290,0,,,No safe Windows filename indicator,1
mygreenpc,MyGreenPC,Generated,DR-MFT-RMM-105,1,^mygreenpc\.exe$,,,1
myivo,MyIVO,Generated,DR-MFT-RMM-106,2,^myivomanager\.exe$|^myivomgr\.exe$,,,1
n-able_advanced_monitoring_agent,N-Able Advanced Monitoring Agent,Generated,DR-MFT-RMM-108,7,^Agent_.*_RW\.exe$|^BASEClient\.exe$|^BASupApp\.exe$|^BASupSrvcCnfg\.exe$|^BASupSrvc\.exe$|^BASupTSHelper\.exe$|^winagent\.exe$,,,2
n-able_remote_access_software,N-ABLE Remote Access Software,Excluded,DR-MFT-RMM-291,0,,,No safe Windows filename indicator,1
naverisk,Naverisk,Generated,DR-MFT-RMM-107,1,^AgentSetup-.*\.exe$,,,1
netbird,NetBird,Generated,DR-MFT-RMM-293,5,^netbird-ui\.exe$|^netbird\.exe$|^OpenSSH\.msi$|^cis\.vbs$|^netbird\.msi$,,,1
netlock_rmm,NetLock RMM,Generated,DR-MFT-RMM-294,3,^NetLock_RMM_User_Process\.exe$|^NetLock_RMM_User_UAC\.exe$|^NetLock_RMM_Agent_Installer\.exe$,,,1
netop,Netop,Excluded,DR-MFT-RMM-295,0,,,No safe Windows filename indicator,1
netop_remote_control__aka_impero_connect_,Netop Remote Control (aka Impero Connect),Generated,DR-MFT-RMM-110,4,^nhostsvc\.exe$|^nhstw32\.exe$|^nldrw32\.exe$|^rmserverconsolemediator\.exe$,,,1
