DllName,Vendor,ExpectedLocation,ExecutablePath,Type,ExecutableSHA256,Url
dbgcore.dll,Microsoft,\\Program Files( \(x86\))?\\windows kits\\10\\debuggers\\arm|\\Program Files( \(x86\))?\\windows kits\\10\\debuggers\\arm\\srcsrv|\\Program Files( \(x86\))?\\windows kits\\10\\debuggers\\arm64|\\Program Files( \(x86\))?\\windows kits\\10\\debuggers\\arm64\\srcsrv|\\Program Files( \(x86\))?\\windows kits\\10\\debuggers\\x64|\\Program Files( \(x86\))?\\windows kits\\10\\debuggers\\x64\\srcsrv|\\Program Files( \(x86\))?\\windows kits\\10\\debuggers\\x86|\\Program Files( \(x86\))?\\windows kits\\10\\debuggers\\x86\\srcsrv|\\Program Files( \(x86\))?\\microsoft office\\root\\office[^\\]+|\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\deploymentcsphelper\.exe|\\Windows\\System32\\djoin\.exe|\\Windows\\System32\\dnscacheugc\.exe|\\Windows\\System32\\ieunatt\.exe|\\Windows\\System32\\muiunattend\.exe|\\Windows\\System32\\netbtugc\.exe|\\Windows\\System32\\netiougc\.exe|\\Windows\\System32\\pnpunattend\.exe|\\Windows\\System32\\setupugc\.exe|\\Windows\\System32\\systemreset\.exe|\\Windows\\System32\\werfault\.exe|\\Windows\\System32\\werfaultsecure\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/dbgcore.html
dbgeng.dll,Microsoft,\\Program Files( \(x86\))?\\Windows Kits\\[^\\]+\\Debuggers\\x86|\\Program Files( \(x86\))?\\Windows Kits\\[^\\]+\\Debuggers\\x64|\\Program Files( \(x86\))?\\Windows Kits\\[^\\]+\\Debuggers\\arm|\\Program Files( \(x86\))?\\Windows Kits\\[^\\]+\\Debuggers\\arm64|\\Windows\\System32|\\Windows\\SysWOW64,windbg\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/external/dbgeng.html
dbghelp.dll,Microsoft,\\Program Files( \(x86\))?\\windows kits\\10\\debuggers\\arm|\\Program Files( \(x86\))?\\windows kits\\10\\debuggers\\arm\\srcsrv|\\Program Files( \(x86\))?\\windows kits\\10\\debuggers\\arm64|\\Program Files( \(x86\))?\\windows kits\\10\\debuggers\\arm64\\srcsrv|\\Program Files( \(x86\))?\\windows kits\\10\\debuggers\\x64|\\Program Files( \(x86\))?\\windows kits\\10\\debuggers\\x64\\srcsrv|\\Program Files( \(x86\))?\\windows kits\\10\\debuggers\\x86|\\Program Files( \(x86\))?\\windows kits\\10\\debuggers\\x86\\srcsrv|\\Program Files( \(x86\))?\\cisco systems\\cisco jabber|\\Program Files( \(x86\))?\\microsoft office\\root\\office[^\\]+|\\Program Files( \(x86\))?\\microsoft office\\root\\vfs\\programfilesx86\\microsoft analysis services\\as oledb\\140|\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\bootim\.exe|\\Windows\\System32\\dxcap\.exe|\\Windows\\System32\\taskkill\.exe|\\Windows\\System32\\tasklist\.exe|\\Windows\\System32\\tracerpt\.exe|\\Windows\\System32\\werfault\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/dbghelp.html
dbgmodel.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64|\\Program Files( \(x86\))?\\Windows Kits\\10\\Debuggers\\[^\\]+,\\Program Files( \(x86\))?\\Windows Kits\\10\\Debuggers\\[^\\]+\\ntsd\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/dbgmodel.html
dcntel.dll,Microsoft,\\Windows\\System32,\\Windows\\System32\\devicecensus\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/dcntel.html
dcomp.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\dataexchangehost\.exe|\\Windows\\System32\\gamepanel\.exe|\\Windows\\System32\\quickassist\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/dcomp.html
deviceassociation.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\eduprintprov\.exe|\\Windows\\System32\\proximityuxhost\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/deviceassociation.html
devicecredential.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\devicecredentialdeployment\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/devicecredential.html
devobj.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\bthudtask\.exe|\\Windows\\System32\\chkdsk\.exe|\\Windows\\System32\\chkntfs\.exe|\\Windows\\System32\\deviceenroller\.exe|\\Windows\\System32\\dispdiag\.exe|\\Windows\\System32\\dmomacpmo\.exe|\\Windows\\System32\\drvinst\.exe|\\Windows\\System32\\fsavailux\.exe|\\Windows\\System32\\fsquirt\.exe|\\Windows\\System32\\immersivetpmvscmgrsvr\.exe|\\Windows\\System32\\iscsicli\.exe|\\Windows\\System32\\label\.exe|\\Windows\\System32\\mdmappinstaller\.exe|\\Windows\\System32\\mdmdiagnosticstool\.exe|\\Windows\\System32\\omadmclient\.exe|\\Windows\\System32\\osk\.exe|\\Windows\\System32\\pnputil\.exe|\\Windows\\System32\\rdpclip\.exe|\\Windows\\System32\\recover\.exe|\\Windows\\System32\\rmttpmvscmgrsvr\.exe|\\Windows\\System32\\tabcal\.exe|\\Windows\\System32\\vsgraphicsdesktopengine\.exe|\\Windows\\System32\\vssvc\.exe|\\Windows\\System32\\workfolders\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/devobj.html
devrtl.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\drvinst\.exe|\\Windows\\System32\\pnpunattend\.exe|\\Windows\\System32\\systemsettingsadminflows\.exe|\\Windows\\System32\\wowreg32\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/devrtl.html
