Name,Description,LolRMMLink,PathRegex,DomainRegex
DW Service,DW Service is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/dw_service,^dwagent\.exe$|^dwagsvc\.exe$,.*\.dwservice\.net$
TigerVNC,TigerVNC is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/tigervnc,.*\\TightVNC\\.*|.*\\tvnserver\.exe$|C:\\Program Files\\TightVNC\\.*|^tigervnc.*\.exe$|^winvnc4\.exe$,
Barracuda,Barracuda is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/barracuda,,.*\.islonline\.net$|barracudamsp\.com$|rmm\.barracudamsp\.com$
Pocket Cloud (Wyse),Pocket Cloud (Wyse) is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/pocket_cloud__wyse_,^pocketcloud.*\.exe$|^pocketcloudservice\.exe$,
Rocket Remote Desktop,Rocket Remote Desktop is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/rocket_remote_desktop,^RDConsole\.exe$|^RocketRemoteDesktop_Setup\.exe$,
ezHelp,ezHelp is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/ezhelp,^ezHelpManager\.exe$|^ezhelpclient\.exe$|^ezhelpclientmanager\.exe$,.*\.ezhelp\.co\.kr$|ezhelp\.co\.kr$
RustDesk,RustDesk is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/rustdesk,C:\\Program Files\\RustDesk|C:\\Users\\.*\\AppData\\Local\\rustdesk\\.*|C:\\Users\\.*\\AppData\\Local\\rustdesk\\rustdesk\.exe$|^rustdesk.*\.exe$|^rustdesk\.exe$,api\.rustdesk\.com$|rs-ny\.rustdesk\.com$|rustdesk\.com$|web\.rustdesk\.com$
TeleDesktop,TeleDesktop is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/teledesktop,^pstlaunch\.exe$|^ptdskclient\.exe$|^ptdskhost\.exe$,tele-desk\.com$
KiTTY,KiTTY is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/kitty,.*\\kitty\.exe$|C:\\.*\\kitty\.exe$,
Lite Manager,Lite Manager is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/lite_manager,.*\\LMNoIpServer\.exe$|.*\\LiteManager Pro – Viewer\\.*|C:\\Program Files\\LiteManager Pro – Viewer\\.*,
Dev Tunnels (aka Visual Studio Dev Tunnel),Dev Tunnels (aka Visual Studio Dev Tunnel) is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/dev_tunnels__aka_visual_studio_dev_tunnel_,,learn\.microsoft\.com/en-us/azure/developer/dev-tunnels/overview$
Free Ping Tool,Free Ping Tool is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/free_ping_tool,can't find this one,
NetSupport Manager,NetSupport Manager is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/netsupport_manager,^client32\.exe$|^pcicfgui\.exe$|^pcictlui\.exe$,.*\.netsupportmanager\.com$|netsupportmanager\.com$
OCS inventory,OCS inventory is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/ocs_inventory,^ocsinventory\.exe$|^ocsservice\.exe$,ocsinventory-ng\.org$
MEGAsync,MEGAsync is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/megasync,.*ProgramData\\MEGAsync\\.*|.*Users\\.*\\AppData\\Local\\MEGAsync\\.*|.*\\MEGAsyncSetup64\.exe$|.*\\MEGAupdater\.exe$|C:\\Users\\.*\\AppData\\Local\\MEGAsync\\.*,
XRDP,XRDP is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/xrdp,,
VNC Connect,VNC Connect is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/vnc_connect,.*\\RealVNC\\VNC Server\\.*|C:\\Program Files\\RealVNC\\VNC Server\\.*,
UltraVNC,UltraVNC is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/ultravnc,^UltraVNC.*\.exe$,ultravnc\.com$
Remmina,Remmina is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/remmina,,
AliWangWang-remote-control,AliWangWang-remote-control is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/aliwangwang-remote-control,^alitask\.exe$,wangwang\.taobao\.com$
Aspia,"Aspia is an open-source Remote Desktop, file transfer and system information tool.
",https://lolrmm.io/tools/aspia,.*\\aspia_client\.exe$|C:\\Program Files \(x86\)\\Aspia\\|C:\\Program Files\\Aspia\\,https://github\.com/dchapyshev/aspia$
PDQ Connect,PDQ Connect is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/pdq_connect,PDQConnectUpdater-.*\.msi|^pdq-connect.*\.exe$,app\.pdq\.com$|cfcdn\.pdq\.com$|pdqinstallers\..*\.r2\.cloudflarestorage\.com$
AweRay,AweRay is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/aweray,^AweSun\.exe$|^aweray_remote.*\.exe$,asapi.*\.aweray\.net$|client-api\.aweray\.com$
Addigy,Addigy is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/addigy,addigy-.*\.pkg,agents\.addigy\.com$|grtmprod\.addigy\.com$|prod\.addigy\.com$
pcAnywhere,pcAnywhere is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/pcanywhere,^awhost32\.exe$|^awrem32\.exe$|^pcaquickconnect\.exe$|^winaw32\.exe$,
RPort,RPort is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/rport,^rport\.exe$,rport\.io$
Pilixo,Pilixo is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/pilixo,^Pilixo_Installer.*\.exe$|^rdp\.exe$,.*\.pilixo\.com$|download\.pilixo\.com$|pilixo\.com$
Duet Display,Duet Display is a screen sharing and remote desktop software product that ships with RMM capability. The tool includes remote desktop access functionality and is part of the broader itagent product family which features system management and automation functions. Duet Display has been observed being used for remote access capabilities beyond its primary screen-sharing purpose.,https://lolrmm.io/tools/duet_display,^DuetDisp\.exe$|^DuetSetup\.exe$|^duet\.exe$,.*\.duetdisplay\.com$|.*\.itagent\.com$|duetdisplay\.com$|itagent\.com$|rdp\.duetdisplay\.com$
Xshell,Xshell is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/xshell,.*\\NetSarang\\xShell\\.*|.*\\xShell\.exe$|C:\\Program Files \(x86\)\\NetSarang\\xShell\\.*,
RDPView,RDPView is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/rdpview,^dwrcs\.exe$,systemmanager\.ru/dntu\.en/rdp_view\.htm$
Impero Connect,Impero Connect is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/impero_connect,^ImperoClientSVC\.exe$,imperosoftware\.com$
GatherPlace-desktop sharing,GatherPlace-desktop sharing is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/gatherplace-desktop_sharing,^gp3\.exe$|^gp4\.exe$|^gp5\.exe$,.*\.gatherplace\.com$|.*\.gatherplace\.net$|gatherplace\.com$
Action1,"Action1 is a powerful Remote Monitoring and Management(RMM) tool that enables users to execute commands, scripts, and binaries.
Through the web interface of action1, the administrator must create a new policy or an app to establish remote execution and then points that the agent is installed.
",https://lolrmm.io/tools/action1,C:\\Windows\\Action1\\.*,.*\.action1\.com$|a1-backend-packages\.s3\.amazonaws\.com$
rdp2tcp,rdp2tcp is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/rdp2tcp,^tdp2tcp\.exe$|rdp2tcp\.py,github\.com/V-E-O/rdp2tcp$
ISL Online,ISL Online is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/isl_online,.*\\ISL Online\\ISL Light.*|.*\\ISLLight\.exe$|C:\\Program Files \(x86\)\\ISL Online\\ISL Light.*|^ISLLightClient\.exe$|^ISLLight\.exe$|^islalwaysonmonitor\.exe$|^isllight\.exe$|^isllightservice\.exe$,.*\.islonline\.com$|.*\.islonline\.net$
SysAid,SysAid is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/sysaid,.*\\IliAS\.exe$|.*\\SysAidServer\\.*|.*\\SysAid\\.*|C:\\Program Files\\SysAidServer\\.*,
Mikogo,Mikogo is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/mikogo,.*Users\\.*\\AppData\\Roaming\\Mikogo\\.*|.*\\Mikogo-Screen-Service\.exe$|.*\\Mikogo-Service\.exe$|C:\\Users\\.*\\AppData\\Roaming\\Mikogo\\.*|^mikogo-service\.exe$|^mikogo-starter\.exe$|^mikogo\.exe$|^mikogolauncher\.exe$,.*\.mikogo4\.com$|.*\.mikogo\.com$|.*\.real-time-collaboration\.com$|mikogo\.com$
ManageEngine ServiceDesk Plus,"ManageEngine ServiceDesk Plus is an IT service management (ITSM) and help desk software that includes remote control capabilities for IT support teams. The software provides comprehensive IT service management features including incident management, asset management, and remote desktop support.",https://lolrmm.io/tools/manageengine_servicedesk_plus,C:\\Program Files \(x86\)\\ManageEngine\\ServiceDesk\\.*|C:\\Program Files\\ManageEngine\\ServiceDesk\\.*|ManageEngine_ServiceDesk_Plus\.bin|^ISBEW64\.exe$|^ManageEngine_ServiceDesk_Plus\.exe$,.*\.manageengine\.com$|manageengine\.com$
KHelpDesk,KHelpDesk is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/khelpdesk,^KHelpDesk\.exe$,.*\.khelpdesk\.com\.br$
N-ABLE Remote Access Software,N-ABLE Remote Access Software is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/n-able_remote_access_software,,n-able\.com$
Parallels Access,Parallels Access is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/parallels_access,^TSClient\.exe$|^parallelsaccess-.*\.exe$|^prl_deskctl_agent\.exe$|^prl_deskctl_wizard\.exe$|^prl_pm_service\.exe$,.*\.parallels\.com$|parallels\.com/products/ras/try$
Chrome SSH Extension,Chrome SSH Extension is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/chrome_ssh_extension,.*Users\\.*\\AppData\\Local\\Google\\Chrome\\User Data\\Default\\Extensions\\iodihamcpbpeioajjeobimgagajmlibd.*|C:\\Users\\.*\\AppData\\Local\\Google\\Chrome\\User Data\\Default\\Extensions\\iodihamcpbpeioajjeobimgagajmlibd.*,
Microsoft TSC,Microsoft TSC is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/microsoft_tsc,^mstsc\.exe$|^termsrv\.exe$,
