Name,Description,LolRMMLink,PathRegex,DomainRegex
Royal TS,Royal TS is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/royal_ts,^royalts\.exe$,royalapps\.com$
JollysFastVNC,JollysFastVNC is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/jollysfastvnc,,
Manage Engine (Desktop Central),Manage Engine (Desktop Central) is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/manage_engine__desktop_central_,^dcagentregister\.exe$|^dcagentservice\.exe$,.*\.-dms\.zoho\.com\.cn$|.*\.dms\.zoho\.com$|.*\.dms\.zoho\.com\.eu$|desktopcentral\.manageengine\.cn$|desktopcentral\.manageengine\.com$|desktopcentral\.manageengine\.com\.eu$
QQ IM-remote assistance,QQ IM-remote assistance is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/qq_im-remote_assistance,^QQProtect\.exe$|^qq\.exe$|^qqpcmgr\.exe$,.*\.desktop\.qq\.com$|.*\.mdt\.qq\.com$|qq-messenger\.en\.softonic\.com$|upload_data\.qq\.com$
SuperOps,SuperOps is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/superops,^superops\.exe$|^superopsticket\.exe$,.*\.superops\.ai$|.*\.superopsalpha\.com$|.*\.superopsbeta\.com$|serv\.superopsalpha\.com$|superops\.ai$
Netop Remote Control (Impero Connect),Netop Remote Control (Impero Connect) is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/netop_remote_control__impero_connect_,^Connect\.Backdrop\.cloud.*\.exe$|^ImperoClientSVC\.exe$|^ImperoInit\.exe$|^Netop Ondemand\.exe$|^ngstw32\.exe$|^nhostsvc\.exe$|^nhstw32\.exe$|^nldrw32\.exe$|^rmserverconsolemediator\.exe$,.*\.connect\.backdrop\.cloud$|.*\.netop\.com$
Instant Housecall,Instant Housecall is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/instant_housecall,^hsloader\.exe$|^ihcserver\.exe$|^instanthousecall\.exe$,.*\.instanthousecall\.com$|.*\.instanthousecall\.net$|instanthousecall\.com$|secure\.instanthousecall\.com$
ExtraPuTTY,ExtraPuTTY is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/extraputty,.*Users\\.*\\ExtraPuTTY-0\.30-2016-01-28-installer\.exe$|.*\\ExtraPuTTY-0\.30-2016-01-28-installer\.exe$|C:\\Users\\.*\\ExtraPuTTY-0\.30-2016-01-28-installer\.exe$,
GoToMyPC,"GoToMyPC is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.
",https://lolrmm.io/tools/gotomypc,C:\\Program Files \(x86\)\\GoToMyPC\\.*,.*\.GoToMyPC\.com$
NinjaOne (formerly NinjaRMM),NinjaOne (formerly NinjaRMM) is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/ninjaone__formerly_ninjarmm_,.*ProgramData\\NinjaRMMAgent\\.*,
Gorelo RMM,Gorelo RMM is a remote monitoring and management tool facilitating remote access and control of devices for support and administration.,https://lolrmm.io/tools/gorelo_rmm,,app\.gorelo\.io$|gorelo-rmm\.azurewebsites\.net$|gw\.usw\.gorelo\.tech$|lr\.rmm\.pod1\.usw\.gorelo\.tech$|public\.rmm\.pod1\.usw\.gorelo\.tech$|r1\.rmm\.uw\.gorelo\.tech$|sr\.rmm\.pod1\.usw\.gorelo\.tech$
Remote.it,Remote.it is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/remote.it,^remote-it-installer\.exe$|^remote\.it\.exe$|^remoteit\.exe$,api\.remote\.it$|auth\.api\.remote\.it$|remote\.it$
Mouse Without Borders,"Mouse Without Borders is a Microsoft Garage utility that lets you control up to four Windows computers with a single keyboard and mouse, with clipboard sharing and simple drag-and-drop file transfers.",https://lolrmm.io/tools/mouse_without_borders,C:\\Program Files \(x86\)\\Microsoft Garage\\Mouse without Borders\\.*,
X2Go,X2Go is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/x2go,,
MyGreenPC,MyGreenPC is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/mygreenpc,^mygreenpc\.exe$,.*mygreenpc\.com$
Onionshare,Onionshare is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/onionshare,.*\\OnionShare\\.*|.*\\onionshare.*\.exe$|C:\\Program Files \(x86\)\\OnionShare\\.*|OnionShare-win.*\.msi,
LogMeIn,"LogMeIn is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.
",https://lolrmm.io/tools/logmein,,.*\.logmein\.com$|.*\.logmein\.eu$|.*\.logmeininc\.com$|logmein-gateway\.com$|logmeinrescue\.com$
Echoware,Echoware is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/echoware,^echoserver.*\.exe$|echoware\.dll,
RDCMan,"Remote Desktop Connection Manager (RDCMan) is a free Microsoft tool developed by Julian Burger for managing multiple remote desktop connections from a single interface. Part of the Sysinternals suite, RDCMan enables IT administrators, system administrators, server lab managers, developers, and testers to organize, group, and control numerous RDP sessions efficiently.
",https://lolrmm.io/tools/rdcman,.*\\RDCMan-x86\.exe$|.*\\RDCMan\.exe$,
Apple Remote Desktop,Apple Remote Desktop is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/apple_remote_desktop,ARDAgent\.app,
